sku,name,supplier,replacement_sku,is_exchange
012122810,ווסת טעינה דינמו מנוע,,,לא
012125135,מוליך חשמלי ממסר מתנע,,,לא
012125186,מוליך חשמלי מתנע ממסר,,,לא
012125216,ממסר מתג מתנע מנוע,,,לא
012126506,מתג הפעלה ראשי,,,לא
012128983,פנס חזית ראש תאורה,,,כן
012130511,יח שליחה לח. שמן,,,לא
012130945,מוליך חשמלי מצברים הארקה,,,לא
012132158,מוליך חשמלי חום שמן שונים דיפר,,,לא
012136927,דיסקית ביטחון לולב סגר קצה אוגן,,,לא
012137265,"גל מכלל ברך בקרה ידית תיבה מ""מ",,,לא
012137737,בורר הילוכים מכלל,,,לא
012137745,מוט חיבור מכלל בורר הילוכים תי,,,לא
012137761,זרוע הפעלת קצה מוט חיבור בורר,,,לא
012137788,גל גישור בין בורר לת'ה,,,לא
012137915,מתג ידית בורר הילוכים,,,לא
012138016,אטם מגופת ריקון (נחושת),,,לא
012140690,אטם מסנן שמן ממסרת (שעמ),,,לא
012140754,קרב מסנן שמן ממסרת,,,לא
012140983,צינור שמן מכלול מקרר שמן לדיפרנציאל,,,לא
012140991,צינור שמן מכלול ממקרר שמן למסנן,,,לא
012141009,צינור מכלל כניסה מקרן שמן,,,לא
012141017,זרנוק גומי מכלל יציאה מקרר שמן,,,לא
012142595,גלגלית הינע אלטרנטור מכלל,,,לא
012142625,קולר שמן גלגלית אלטרנטור (סיליקון),,,לא
012142668,מגופת הורכת שמן תיבת העברה (קצר),,,לא
012142960,קולר שמן החלקה למזווג (סיליקון),,,לא
012143087,מצמדד הינע משאבה הידראולית תיבה,,,לא
012143095,טבעת עצר מצמדד הינע משאבה הידראולית,,,לא
012143133,תמך משאבה סיבובית תיבה ממסרת ה,,,לא
012143311,מגופה הרקת שמן תיבה ממסר,,,לא
012145004,צלב מפרק הינע סופי דיפרנציאל,,,לא
012145047,גל הינע עול מדיפרנציאל לממסרת,,,לא
